record;classification;subClassification;length;width;thickness;diameter;weight;quantity;broadperiod;fromdate;todate;location;date;weather
403518;Leaf shaped;;30.1;20.8;7.1;;4.3;1;NEOLITHIC;-3000;-2500;Telford and Wrekin,Telford and Wrekin;10173;75.2
403378;;;57;;3.7;;12.5;1;NEOLITHIC;-2500;-2100;Wellingborough,Northamptonshire;11969;51.8
402881;;;43.49;19.73;;;2.8;1;NEOLITHIC;-3500;-2500;Stratford-on-Avon,Warwickshire;7521;48.2
402776;;;38;18;10;;5.76;1;MEDIEVAL;1200;1500;South Gloucestershire,South Gloucestershire;13190;46.4
402402;;;57.07;8.36;4.81;;3.71;1;POST MEDIEVAL;1450;1700;Tower Hamlets,London;7588;66.2
401943;;;28.58;20.72;4.28;;2.33;1;BRONZE AGE;-2000;-1500;Guildford,Surrey;13980;62.6
401941;;;23.21;17.96;4.28;;1.76;1;NEOLITHIC;-3000;-2000;Mole Valley,Surrey;5603;66.2
401936;;;28;15;1;8;3.75;1;MEDIEVAL;1066;1500;Wyre,Lancashire;7092;66.2
401934;;;26.38;19.44;4.66;;2.55;1;NEOLITHIC;-3000;-2000;Mole Valley,Surrey;5603;66.2
401930;;;27.89;18.69;6.08;;3.17;1;NEOLITHIC;-3000;-2000;Mole Valley,Surrey;5603;75.2
401925;;;20.55;14.88;2.96;;0.92;1;NEOLITHIC;-3000;-2000;Mole Valley,Surrey;5603;66.2
401923;;;46.5;15;2;8.8;7.75;1;MEDIEVAL;1066;1500;Harrogate,Yorkshire del Norte;12095;66.2
401922;;;23.82;15.41;;;1.32;1;NEOLITHIC;-3000;-2000;Mole Valley,Surrey;5603;66.2
401919;;;30.66;14.42;;;2.15;1;NEOLITHIC;-3000;-2000;Mole Valley,Surrey;5603;66.2
401915;;;31.67;;;;2.44;1;NEOLITHIC;-3000;-2000;Mole Valley,Surrey;5603;66.2
401908;;;31.26;;4.39;;1.93;1;BRONZE AGE;-2000;-1500;Mole Valley,Surrey;5603;66.2
401904;;;38.23;15.39;4.29;;2.22;1;BRONZE AGE;-2000;-1500;Mole Valley,Surrey;5603;66.2
401887;;;39.76;23.77;5.15;;4.21;1;BRONZE AGE;-2000;-1500;Mole Valley,Surrey;5603;46.4
401884;;;21.24;;14.36;;1;1;NEOLITHIC;-3000;-2000;Mole Valley,Surrey;5603;66.2
401881;;;26.31;;3.28;;0.91;1;NEOLITHIC;-3000;-2000;Guildford,Surrey;13980;66.2
401719;;;35.54;23.45;5.72;;3.7;1;BRONZE AGE;-2000;-1500;Mole Valley,Surrey;5603;66.2
401713;;;21.9;18.69;3.8;;1.26;1;BRONZE AGE;-2000;-1500;Mole Valley,Surrey;5603;66.2
